COUNTY,MCD_NAME,MCD_ID,YEAR,POPULATION_ESTIMATE,TOTAL_KSI_RATE,PEDESTRIAN_KSI_RATE,BICYCLIST_KSI_RATE,TOTAL_KSI_RATE_5YR,PEDESTRIAN_KSI_RATE_5YR,BICYCLIST_KSI_RATE_5YR
Camden County,Mount Ephraim Borough,3400748750,2020,4587,588.6,65.4,87.2,847.7,60.9,52.2
Camden County,Oaklyn Borough,3400753880,2020,3955,50.6,0.0,0.0
Camden County,Pennsauken Township,3400757660,2020,35899,855.2,33.4,13.9,1193.0,57.1,11.8
Camden County,Pine Hill Borough,3400758770,2020,10417,470.4,38.4,28.8,545.4,42.2,17.3
Camden County,Runnemede Borough,3400765160,2020,8300,722.9,24.1,12.0,809.5,33.7,24.1
Camden County,Somerdale Borough,3400768340,2020,5477,1040.7,91.3,18.3,1114.5,80.7,14.7
Camden County,Stratford Borough,3400771220,2020,6951,776.9,71.9,0.0,1008.7,71.8,20.1
Camden County,Tavistock Borough,3400772240,2020,6,0.0,0.0,0.0,11111.1,0.0,0.0
Camden County,Voorhees Township,3400776220,2020,29133,511.4,13.7,27.5,621.8,11.0,11.0
Camden County,Waterford Township,3400777630,2020,10681,674.1,0.0,0.0,553.6,1.9,11.2
Camden County,Winslow Township,3400781740,2020,38609,1038.6,23.3,23.3,1123.1,22.7,12.4
Gloucester County,Clayton Borough,3401513360,2020,8738,480.7,34.3,0.0,298.0,16.2,11.5
Gloucester County,Deptford Township,3401517710,2020,30337,1259.2,9.9,9.9,1537.6,24.3,10.5
Gloucester County,East Greenwich Township,3401519180,2020,10712,494.8,0.0,0.0,381.3,1.9,0.0
Gloucester County,Elk Township,3401521060,2020,4172,1677.9,24.0,47.9,2087.1,14.5,14.5
Gloucester County,Franklin Township,3401524840,2020,16299,1110.5,6.1,6.1,1329.2,28.1,24.4
Gloucester County,Glassboro Borough,3401526340,2020,20431,626.5,53.8,29.4,898.3,65.0,31.0
Gloucester County,Greenwich Township,3401528185,2020,4795,667.4,62.6,0.0,582.6,33.3,12.5
Gloucester County,Harrison Township,3401530180,2020,13116,686.2,15.2,0.0,708.0,12.3,1.5
Gloucester County,Logan Township,3401541160,2020,5874,2655.8,17.0,34.0,2102.9,16.9,10.2
Gloucester County,Mantua Township,3401543440,2020,14846,478.2,6.7,0.0,625.0,5.4,6.7
Gloucester County,Monroe Township,3401547250,2020,36858,719.0,13.6,13.6,777.4,16.8,15.2
Gloucester County,National Park Borough,3401549680,2020,2943,135.9,0.0,34.0,135.3,0.0,13.5
Gloucester County,Newfield Borough,3401551390,2020,1543,194.4,0.0,0.0
Gloucester County,Paulsboro Borough,3401557150,2020,5854,461.2,68.3,17.1,428.3,40.8,17.0
Gloucester County,Pitman Borough,3401559070,2020,8723,160.5,11.5,11.5,230.2,18.2,11.4
Gloucester County,South Harrison Township,3401569030,2020,3123,1665.1,0.0,0.0,815.5,6.4,12.7
Gloucester County,Swedesboro Borough,3401571850,2020,2568,77.9,77.9,0.0,147.4,23.3,15.5
Gloucester County,Washington Township,3401577180,2020,47741,534.1,12.6,6.3,724.4,17.5,8.8
Gloucester County,Wenonah Borough,3401578110,2020,2212,180.8,0.0,0.0
Gloucester County,West Deptford Township,3401578800,2020,20971,610.4,19.1,14.3,684.0,12.3,19.0
Gloucester County,Westville Borough,3401580120,2020,4144,627.4,24.1,48.3,399.0,9.6,9.6
Gloucester County,Woodbury City,3401582120,2020,9789,735.5,71.5,40.9,1020.2,77.2,32.5
Gloucester County,Woodbury Heights Borough,3401582180,2020,2964,371.1,33.7,67.5,645.5,20.2,20.2
Gloucester County,Woolwich Township,3401582840,2020,12957,493.9,7.7,15.4,732.6,4.7,7.8
Mercer County,East Windsor Township,3402119780,2020,27281,553.5,3.7,3.7,703.8,16.9,7.3
Mercer County,Ewing Township,3402122185,2020,36798,573.4,43.5,40.8,789.8,52.9,23.1
Mercer County,Hamilton Township,3402129310,2020,87093,591.3,25.3,14.9,953.5,31.4,16.3
Mercer County,Hightstown Borough,3402131620,2020,5302,245.2,94.3,56.6,309.8,56.0,41.1
Mercer County,Hopewell Borough,3402133150,2020,1906,209.9,0.0,0.0,125.6,0.0,0.0
Mercer County,Hopewell Township,3402133180,2020,17725,394.9,0.0,33.9,743.1,11.2,22.3
Mercer County,Lawrence Township,3402139510,2020,32410,617.1,9.3,15.4,943.9,23.3,11.7
Mercer County,Pennington Borough,3402157600,2020,2575,271.8,0.0,77.7,398.1,31.2,15.6
Mercer County,Princeton,3402160900,2020,31168,311.2,28.9,41.7,549.3,63.5,43.4
Mercer County,Robbinsville Township,3402163850,2020,14631,1059.4,20.5,0.0,1125.7,13.9,13.9
Mercer County,Trenton City,3402174000,2020,83148,921.2,105.8,19.2,864.5,104.2,21.6
Mercer County,West Windsor Township,3402180240,2020,27888,677.7,14.3,10.8,930.7,13.6,18.6
Bucks County,Bedminster Township,4201704976,2020,7238,469.7,13.8,0.0,599.4,8.4,8.4
Bucks County,Bensalem Township,4201705616,2020,60591,800.4,34.7,1.7,990.1,40.4,7.9
Bucks County,Bridgeton Township,4201708592,2020,1289,620.6,0.0,0.0,482.3,0.0,0.0
Bucks County,Bristol Borough,4201708760,2020,9575,104.4,41.8,0.0,250.4,29.2,12.5
Bucks County,Bristol Township,4201708768,2020,53492,663.7,22.4,16.8,657.0,27.6,16.4
Bucks County,Buckingham Township,4201709816,2020,20266,236.8,0.0,14.8,568.6,5.9,7.9
Bucks County,Chalfont Borough,4201712504,2020,4286,233.3,0.0,0.0,199.6,9.5,0.0
Bucks County,Doylestown Borough,4201719784,2020,8230,352.4,36.5,12.2,384.5,31.4,12.1
